FORNECEDOR;CÓDIGO ITEM;DESCRIÇÃO;FAMÍLIA;URGÊNCIA;QUANTIDADE;PREV. CHEGADA CD
BIOTEXTIL;9991;GAZE COMPRES 9 FIOS 7,5X7,5PT C/500 (BIO;TEXTIL NACIONAL;ESTÁVEL;800;20/08/2026
ECO DIAGNOSTICA;10067;TESTE RAPIDO HBSAG C/25 (ECD);TESTES RAPIDOS NACIONAL;PRIORIDADE;100;20/08/2026
JPROLAB;9228;ALMOTOLIA 250 ML BRANCA (JP);DESCARTAVEL NACIONAL;ESTÁVEL;3504;20/08/2026
JPROLAB;9292;POTE COLETOR 50ML C/PA N/EST C/1000 (JP);POTE COLETOR NACIONAL;ESTÁVEL;18;20/08/2026
JPROLAB;9292;POTE COLETOR 50ML C/PA N/EST C/1000 (JP);POTE COLETOR NACIONAL;ESTÁVEL;102;20/08/2026
JPROLAB;37477;PLACA PETRI 150X15MM PCT COM 5 (JP);DESCARTAVEL NACIONAL;ESTÁVEL;408;20/08/2026
PERFECTA;5158;LAMINA FOSCA LAPIDADA 26X76MM C/50 (PFT);LAMINAS PARA MICROSCOPIA NACIONAL;ESTÁVEL;6000;20/08/2026
PERFECTA;5170;PONT EPPENDORF 0-200UL N.E AM C/1000;TUBO DESCARTAVEL NACIONAL;ESTÁVEL;900;20/08/2026
PERFECTA;9067;TUBO CAPILAR SEM HEPARINA FR C/500 (PF);TUBO DE VIDRO NACIONAL;ESTÁVEL;200;20/08/2026
SOCC;9164;SAPATILHA PROPE 20GR C/100 SOCC;PARAMENTACAO NACIONAL;PRIORIDADE;2600;20/08/2026
SR;5480;SERINGA INSULINA 0,5ML 8X0,30 C/100 (SR)          ;SERINGA DE INSULINA;PRIORIDADE;3240;20/08/2026
EUROMED ;9911;ALGODAO NATHY 500 GRS (EU);TEXTIL NACIONAL;ESTÁVEL;5000;20/08/2026
MEDLEVENSOHN;37507;TESTE RAPIDO HIV C/ 25 CARDS (MDL);TESTES RAPIDOS NACIONAL;ESTÁVEL;50;22/08/2026
MEDLEVENSOHN;37509;TESTE RAPIDO DENGUE IGG/IGM C/ 25 (MDL);TESTES RAPIDOS NACIONAL;CRÍTICO;20;22/08/2026
RAVA;11075;SACO P/ LIXO HOSPITALAR 30L C/100 RV(TP);SACOS DE LIXO NACIONAL;ESTÁVEL;150;25/08/2026
RAVA;11076;SACO P/ LIXO HOSPITALAR 50L C/100 RV(TP);SACOS DE LIXO NACIONAL;ESTÁVEL;150;25/08/2026
RAVA;11077;SACO P/ LIXO HOSPIT 100L C/100 RV(TP);SACOS DE LIXO NACIONAL;PRIORIDADE;50;25/08/2026
JPROLAB;12250;KIT URINA EST 12ML C/BECKER C/500 (JP);POTE COLETOR NACIONAL;ESTÁVEL;34;27/08/2026
JPROLAB;12250;KIT URINA EST 12ML C/BECKER C/500 (JP);POTE COLETOR NACIONAL;ESTÁVEL;230;27/08/2026
SR;5480;SERINGA INSULINA 0,5ML 8X0,30 C/100 (SR)          ;SERINGA DE INSULINA;PRIORIDADE;2440;27/08/2026
ESTILO;9091;ESPATULA AYRES C/100 (ES);ESPATULA DE AYRES NACIONAL;ESTÁVEL;1000;15/09/2026
ESTILO;9113;ABAIXADOR DE LINGUA C/100 (ES);ABAIXADOR DE LINGUA NACIONAL;ESTÁVEL;6000;15/09/2026
SR;5480;SERINGA INSULINA 0,5ML 8X0,30 C/100 (SR)          ;SERINGA DE INSULINA;PRIORIDADE;2180;15/09/2026
SR;5480;SERINGA INSULINA 0,5ML 8X0,30 C/100 (SR)          ;SERINGA DE INSULINA;PRIORIDADE;17820;15/09/2026
SR;5480;SERINGA INSULINA 0,5ML 8X0,30 C/100 (SR)          ;SERINGA DE INSULINA;PRIORIDADE;20000;20/10/2026
SR;5480;SERINGA INSULINA 0,5ML 8X0,30 C/100 (SR)          ;SERINGA DE INSULINA;PRIORIDADE;20000;20/11/2026
SR;5480;SERINGA INSULINA 0,5ML 8X0,30 C/100 (SR)          ;SERINGA DE INSULINA;PRIORIDADE;20000;20/12/2026
